event_id,n_before,n_after,x0,x1,x2,x3,r_bl,theta_bl,Ne,Thetae,B,bias,dtau_scatt,dtau_abs,scatter_weight_factor,nu_before_local_hz,nu_after_local_hz,nu_before_obs_hz,nu_after_obs_hz,E_before_obs,E_after_obs,w_parent_pre_abs,w_parent_at_event,w_scatter
10054,1,2,9.6577335769698855,0.41307181513277874,0.50414949542995091,4.6106088945749342,1.5114535672751144,1.5838323511537347,15614221.647098124,14.963849323829306,2595.155230332593,100000,5.7608458727678245e-08,3.9282685794949612e-87,1.0292825257458055e-05,2.1837998617053051e+18,6.9888326454663158e+20,12159628562570554,5.8343507456096685e+20,9.8411518620491675e-05,4.7219149342063949,4.7287767783443207e+39,4.7287765059267863e+39,4.8672473061023557e+34
10055,0,1,5.0136855723383098,0.48466471065758782,0.54980434826393942,4.9347429560342997,1.6236305315573683,1.7272613014177163,3932090.781009987,13.929993924772395,608.37889111838956,100000,6.6065744079167877e-09,5.2553674742056407e-29,1.0007592553767437e-05,8597341635669920,5.9882640848544502e+18,3791209205463010.5,4.3162629594930678e+18,3.0683392457074303e-05,0.034932809865311699,2.3710168406688538e+35,2.3710168250045546e+35,2.3728170479534815e+30
10056,0,1,0.090871670900784809,0.4698789347566123,0.49528722317061008,3.1621563503974066,1.5998005012558583,1.555990701729677,13902988.742087336,14.137489907594372,2183.1327917430876,100000,1.6606921014053943e-08,0.0014825130032651965,1.001817651679569e-05,3889317764150.5171,1150071672664429.2,-460800574896.56964,656285825954881.75,-3.7293971705974887e-09,5.3115179011413871e-06,1.0324236778561103e+47,1.0308942132018834e+47,1.0343002644881923e+42
10057,0,1,4.9759369870968104,0.62455440727051292,0.49768103515910872,4.4463973457543924,1.8674136660619598,1.5635110838868196,10288852.070976095,12.111490802337679,1384.0895856148791,100000,4.284717599001321e-09,1.8158990697929739e-11,1.0004892864568492e-05,362702260742443.62,4.3959793362275546e+17,469360730328123.38,2.2513537129179683e+17,3.7986770742813693e-06,0.0018220880407657943,5.7992647922520879e+44,5.7992647672985672e+44,5.8021022939746197e+39
10058,0,1,6.0733715277707763,0.64529787568739616,0.52607685477783872,4.8810390829568187,1.9065548610358751,1.6527191821936826,7065000.0986923045,11.862844286778447,930.89495383281007,100000,5.4718084962241681e-09,3.8132375089734424e-07,1.0005255247924852e-05,15954817014529.576,10018900744091826,18488212486438.914,10053740633095608,1.4963064521307684e-07,8.1367936399392917e-05,5.7483290948454608e+46,5.7483268714177224e+46,5.7513499843001658e+41
10059,0,1,7.4517154272771258,0.36529429493403576,0.50459035642565764,3.9522898924258807,1.4409380065114479,1.5852173568191013,17147206.867828123,15.696139138855747,2989.4128788464177,100000,7.8390042100394449e-07,4.3035761903267493e-10,1.1213542028792561e-05,1384490738976199.8,1.9776863979554166e+18,-9594034337190.7188,2.7846696428694815e+18,-7.7647395556668555e-08,0.02253716608208918,1.5840466032884337e+46,1.5840453608724152e+46,1.7762773161540946e+41
10060,0,1,18.994215456734175,0.46123150684078429,0.51925719766402112,10.162545893472075,1.5860259846470719,1.6312945975049118,11904436.230101252,14.260272946096757,1885.5425835613719,100000,8.2478901705043311e-08,2.3319245974586481e-20,1.0084639639623471e-05,9508711204672878,3.2619128262998323e+19,827036202878648.12,1.9863538686693712e+19,6.6934518814123159e-06,0.16076157238483679,1.8733069564589693e+40,1.8733068019506754e+40,1.889162559028852e+35
10061,1,2,13.253218627375022,0.577062442658415,0.4925702672984234,5.4800113826530295,1.7807995389852587,1.5474551331214876,11039152.637915798,12.700566765396234,1557.2506264003609,100000,3.0605188099776173e-07,8.8210719590066071e-60,1.0311930660875228e-05,2.7263720429739008e+17,1.1635732422657948e+20,-11950538697536422,1.0961319102835602e+20,-9.6719291671265489e-05,0.88713240987832842,1.9303459213102578e+41,1.9303453305243478e+41,1.9905593292054687e+36
10062,0,1,0.020520754776723917,0.46876209422121373,0.49401009176756494,3.1474905591260471,1.5980147765779735,1.5519784750962016,13840370.032796396,14.153288049752604,2175.7286023962133,100000,4.7389888344989356e-09,6.9511439720720941e-05,1.0003575979693369e-05,9269500593267.6992,32887871036735048,9877520974002.5605,21097207012131844,7.9941737879191891e-08,0.00017074601991591331,8.3053920023380628e+46,8.3048146632908101e+46,8.3083619936526452e+41
10063,0,1,19.409053931101816,0.46624423872040105,0.49451716392256523,3.8356616453977939,1.5939962674180603,1.5535714892531904,13950250.553520234,14.188968884666318,2198.5306177108637,100000,1.6264178250923145e-07,0.0049148675604457227,1.0181661880422262e-05,7321158058804.8809,43950146944263776,366176801746.22388,36396323988368088,2.9635786124557872e-09,0.00029456635928207459,3.5148428397378793e+46,3.4976096665005025e+46,3.57869413570343e+41
10064,0,1,0.1557261500097068,0.47158092305371208,0.49319371961864844,3.1797314738515907,1.6025256614242018,1.5494137663505703,13691759.040135978,14.113448530096367,2146.3081032273235,100000,5.902759943620609e-09,1.3327304913596402e-05,1.0008393077236323e-05,13565235869726.715,1053717568482686.4,-734686319467.62256,626686674632973.5,-5.9460365944947764e-09,5.0719630975980334e-06,7.0065905144898476e+46,7.0064970947862285e+46,7.0124712000249881e+41
10065,0,1,16.225435457061113,0.42113304512025423,0.48705312485543439,3.9744850634592894,1.5236869840419789,1.530122518953785,14264134.279762533,14.843707190220369,2351.7300652071167,100000,4.0122569790137097e-07,0.00013061662987353821,1.0517285654475755e-05,45059328703597.672,5.2448248000714093e+17,344527554405.81091,6.2822191627277069e+17,2.7883647646974075e-09,0.0050843882683542299,8.7704056917472649e+46,8.7692566872727348e+46,9.2240861965746024e+41
10066,0,1,7.497871264734326,0.35256893229419967,0.50509205236705035,3.9431646192614633,1.4227177235652542,1.5867934811029165,17547090.231052823,15.897154485425064,3098.3050721163936,100000,7.6466219918726824e-07,1.1587908811892781e-10,1.1536538640355224e-05,1774396434935588.5,3.7662362351300768e+17,-9594305667160.8203,2.9572101763213914e+17,-7.7649591511443611e-08,0.0023933588335714549,1.5840373573631851e+46,1.5840361459266022e+46,1.8274308180986559e+41
10067,1,2,9.689942163251418,0.39956638073380613,0.50380679769248904,4.5995773975093366,1.4911779539409873,1.5827557344593226,16063326.515439229,15.167313452358201,2706.0998885036056,100000,3.150385486553114e-07,1.9028270173624544e-88,1.031479609427161e-05,2.562770303561812e+18,1.1543775772801249e+21,12159385907200580,4.7951729360871801e+19,9.8409554737850205e-05,0.38808771851864954,4.7287709076861558e+39,4.7287694179412665e+39,4.8776307689306378e+34
