sample,gain_igrmonty,gain_coports,log10_gain_igrmonty,log10_gain_coports
297,1269.8661333417062,41.32552678254451,3.103757940943933,1.616218398294159
298,33699.79846219618,5471.392576348448,4.527627303630454,3.738097876836542
299,530.5720970623383,1499.5682453977026,2.724744406576396,3.175966235300748
300,4798.365424717219,2329.204362343792,3.6810933190580366,3.367207594822585
301,2953.235016067298,2197.6097314678123,3.4702980091458797,3.3419505695620386
302,2592.249099084983,1953.4222210395112,3.4136767322140114,3.290796123702178
303,10318.12321911401,84.25086337710701,4.013600709916602,1.9255743600833422
304,1549.6639283748593,2771.746264281574,3.1902375240557634,3.442753470865421
305,798.2496637051561,3360.8370613196576,2.9021387442474667,3.526447457698548
306,18407.98419098813,567.9697064517503,4.265006232683101,2.754325172556631
307,7071.897859120182,221.64719298265763,3.849535979445511,2.345662235613419
308,1783.1687804612811,2576.867724924514,3.2511924519548625,3.4110921260364453
309,247.14749023791757,1309.870485742196,2.3929562045950656,3.1172283566419132
310,1546.6292235882318,1398.7312863349919,3.189386211921951,3.145734289137253
311,44.0819412403117,18119.22860290341,1.6442607113290275,4.258139704343353
312,2053.955332494668,19158.70329742837,3.312590994732526,4.282366111745201
313,1511.6667427411162,4341.399328387418,3.1794560585322706,3.6376297347304027
314,1709.4048323931295,162.87599750000297,3.23284492735139,2.2118570884745656
315,10441.43579147737,401.30193495311073,4.018760222175967,2.6034712537717972
316,2787.701477030448,2643.509165331238,3.4452462651864404,3.4221808204895248
317,7023.306234778088,1574.4891768814607,3.8465416052203247,3.1971396796205056
318,297.2210122337022,3953.9473509547997,2.4730795089060855,3.597030882139505
319,6934.069345897578,2318.4108538944934,3.840988180612859,3.3651904013290714
320,2188.4017372692488,1135.636427324819,3.340127050871539,3.0552393147559225
321,1153.0958955961564,111.71976992549791,3.061865426285547,2.0481300326484666
322,300.5338679749249,5.433367367098617,2.477893420917167,0.7350690700456761
323,1612.78424185428,4716.401507103247,3.2075762713941733,3.673610769471614
324,11545.307063352539,764.0446364087218,4.06240548806707,2.883118731324029
325,148.59776223908875,652.334802070445,2.172012269353674,2.814470548756997
326,149.9751267905307,395.07525715248283,2.176019237766716,2.596679831456623
327,1880.3817752466464,609.0947924749682,3.2742460333329713,2.784684886467349
328,3121.280088102333,751.9268345056677,3.494332741834,2.8761755840539567
329,4491.5754590825445,334.49252363457873,3.652398700285088,2.524386415136626
330,463.0268481331521,519.7529489046844,2.665606173864658,2.7157969620523743
331,2790.825095568937,11097.304044349541,3.4457326195737346,4.045217485014453
332,477.930871508366,8499.782392789728,2.67936508428247,3.9294078072648366
333,159.2607402704882,77.52952066575097,2.2021087300681272,1.88946709890743
334,4560.475551270693,585.0787485593154,3.6590101318144908,2.7672143237968636
335,869.4618904574214,6105.078427304402,2.9392505511153106,3.785691247368003
336,303.5981418682171,3346.7396524043547,2.482299109190342,3.5246219292917798
337,4525.58177718933,368.5608409143161,3.65567441699582,2.5665091901389974
338,1688.3977959236408,110.85155573121858,3.227474776543952,2.0447417925406506
339,4958.7271114829455,1376.1161787252997,3.6953702088682223,3.138655100795848
340,7926.085469615131,595.7343187822743,3.899058751165227,2.7750526194516305
341,1858.9580281254969,5.904870361089485,3.2692695843069877,0.7712103673040621
342,3698.1180419421507,2591.5361571326343,3.567980769491063,3.4135572724978114
343,715.9407592190164,16499.36992550759,2.8548770879381773,4.217467359783604
344,3395.2296141274383,143.0844313335362,3.530869150273804,2.1555923818117164
345,2465.021299476043,175.30928444718418,3.391820676231889,2.2438049171058014
346,8.055998855344845,2495.0274482501686,0.9061193958378341,3.3970753277381722
347,358.827307203656,88963.11584632973,2.5548854859790673,4.949209985244839
348,125.44783515474978,115.75802157907265,2.098463171123259,2.0635510956452414
349,17669.343707109198,212.17288438765763,4.247220418795148,2.326689880445265
350,1558.0021027709947,8738.636095061995,3.1925680394862397,3.9414436543035998
351,1810.2234300063808,804.5365226722628,3.2577321817367504,2.905545764078301
352,3301.33268463045,337.97442385577824,3.5186892916187054,2.528883836376545
353,97.47294904399865,1102.9666846959897,1.9888841058426354,3.0425623946965765
354,51287.94211608938,3221.327872227391,4.710015273728328,3.508034930300093
355,1234.3829069554738,1025.9237183128741,3.091449899229497,3.0111150703787337
356,714.1610886641303,517.8204338305346,2.853796183802973,2.7141791842308494
357,177.8306899564106,164.19857529628504,2.2500067134876303,2.215369384551716
358,53.72582046377449,7558.1874825444975,1.7301830564607186,3.878417660487144
359,2180.0468870061227,3509.4362634434037,3.3384658342234377,3.5452373593892967
360,44.22434796408754,5259.868026119539,1.6456614384684465,3.7209748475288196
361,4444.492744297664,353.13099244354817,3.6478222015439314,2.547935834970479
362,63.41597760137192,8007.1878745846125,1.8021986917918413,3.903480018583124
363,18.48041274085024,779.2665330823964,1.2667116665091964,2.891686025129544
364,3027.4835452810594,913.1806623864699,3.4810817913813796,2.960556706248148
365,238.92095678933373,2589.2216523190323,2.37825424526596,3.413169230140794
366,111.67532203368113,6050.627555479278,2.047957213503393,3.781800420891721
367,59.63844836760305,275.7841930035835,1.7755263357508773,2.4405693702950475
368,20948.246938304725,3892.629494145095,4.321147684730643,3.590243068936295
369,3809.594529327895,1947.478904708832,3.5808787544036194,3.2894727620477253
370,10746.11427113823,1097.7077006461413,4.031251454421854,3.0404867108824067
371,990.9660168532267,10058.858934680136,2.9960587615022503,4.002548717650463
372,167.28543829044264,201.11675105069895,2.223458138539527,2.303448244569456
373,87.1128035418482,4092.987194287744,1.940081990816174,3.61204038587203
